fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
18173,133.73333333333332,16.379882935227325,116.0,198.0,82.0,32.099999999999994,11.516666666666667,0.8774428000905674,4,1.74
18175,235.93333333333337,35.617014914397714,156.0,304.0,148.0,103.6,20.766666666666666,0.8664565434421763,4,0.41
18177,319.98333333333335,26.107659546685714,258.0,363.0,105.0,70.40000000000003,14.0,0.6220906942109594,4,0.2
18179,256.3666666666667,6.722001988579241,244.0,275.0,31.0,16.099999999999994,3.533333333333333,0.3629881899808553,1,0.12
18181,210.95,7.240247678130767,198.0,231.0,33.0,18.0,2.85,0.2169068032438965,1,0.7
18183,265.7,11.517562124344526,245.0,292.0,47.0,29.09999999999999,5.85,0.4075036710189613,4,0.7
39001,262.3,49.39920400099786,163.0,365.0,202.0,138.90000000000003,36.266666666666666,1.7778031022081524,14,0.32
39003,261.76666666666665,20.72611279069062,232.0,314.0,82.0,45.099999999999994,3.783333333333333,0.249637782877131,2,0.6
39005,346.51666666666665,27.595437885462072,289.0,413.0,124.0,67.20000000000005,20.266666666666666,0.9922690389009154,5,0.58
39007,234.35,61.9887428271306,172.0,343.0,171.0,145.7,12.1,0.296723747400647,4,48.66
39009,254.5,26.80469222773746,187.0,319.0,132.0,58.39999999999998,26.75,1.7217261562486823,18,0.35
39011,285.1333333333333,22.291190527678033,250.0,323.0,73.0,58.30000000000001,4.616666666666666,0.237164446822718,2,0.12
39013,331.3,44.23523405842213,200.0,402.0,202.0,108.10000000000002,40.63333333333333,1.7987040107464534,18,0.76
39015,279.6333333333333,24.07612691039922,177.0,322.0,145.0,51.80000000000001,12.55,0.5041175664918216,14,0.7
39017,232.78333333333333,33.4274279275733,178.0,299.0,121.0,81.19999999999999,13.25,0.7827135347998891,5,0.62
39019,343.6666666666667,28.601094364902483,280.0,404.0,124.0,70.20000000000005,27.016666666666666,1.840772622637656,18,1.09
39021,341.8,26.74094175794291,288.0,411.0,123.0,63.80000000000001,10.1,0.4459605712727976,4,0.27
39023,324.55,26.67597471731153,245.0,374.0,129.0,52.10000000000002,9.25,0.630745806675947,4,0.94
39025,245.15,40.36478789359502,148.0,295.0,147.0,107.1,23.733333333333334,1.1980396183976236,14,1.24
39027,311.8,16.5783195157441,256.0,344.0,88.0,34.69999999999999,7.05,0.2949869999495085,4,0.34
39029,349.06666666666666,24.597689478559076,266.0,389.0,123.0,55.69999999999999,20.05,1.1338407741204002,19,0.5
39031,292.65,35.35046088448866,221.0,374.0,153.0,89.79999999999998,30.033333333333335,1.5589672678666466,18,0.61
39033,306.93333333333334,16.480976878512283,276.0,346.0,70.0,42.80000000000001,5.3,0.4101139740883822,2,0.13
39035,196.5,48.92245680320048,172.0,341.0,169.0,117.2,6.383333333333334,0.1601269894636954,5,63.21
39037,319.43333333333334,16.688945561502745,293.0,359.0,66.0,43.30000000000001,4.333333333333333,0.1746773615810803,2,0.08
39039,222.38333333333333,10.783055864888707,213.0,263.0,50.0,14.199999999999989,3.3,0.1625922908564062,2,0.72
39041,291.56666666666666,18.82062217911617,270.0,343.0,73.0,56.10000000000002,5.95,0.3438671436261967,4,2.95
39043,185.48333333333332,23.456769950212134,172.0,259.0,87.0,45.400000000000006,1.55,0.0939888751456658,2,59.33
39045,282.81666666666666,25.972927017436973,233.0,362.0,129.0,64.1,18.933333333333337,0.8022715784673673,18,0.56
39047,298.6666666666667,19.211284348728057,263.0,330.0,67.0,48.30000000000001,4.3,0.2451271003176403,4,0.12
39049,265.0,25.989567659325232,221.0,325.0,104.0,62.19999999999999,10.55,0.4365930166845752,4,0.62
39051,225.41666666666663,10.431847694808605,203.0,248.0,45.0,27.299999999999983,3.95,0.1709717450015191,2,0.13
39053,227.65,26.93672749492026,175.0,291.0,116.0,70.30000000000001,26.6,1.460886055177924,18,0.5
39055,360.96666666666664,27.64727385136606,288.0,409.0,121.0,73.19999999999999,18.166666666666668,0.8558812149958577,5,1.12
39057,298.31666666666666,26.4962368077384,226.0,338.0,112.0,68.10000000000002,10.633333333333333,0.546529339223505,4,0.32
