fipsCode,land_sqmi,lat,lon,population,rucc,pop_density
54035,464.359,38.834234,-81.677717,27791,8.0,59.84809167045325
54037,209.296,39.307398,-77.86322,57701,1.0,275.69088754682366
54039,901.648,38.328068,-81.523516,180745,3.0,200.46071194080173
54041,386.93,38.988877,-80.495477,17033,9.0,44.02088233013723
54043,437.093,38.17177,-82.077623,20463,8.0,46.81612379974056
54045,453.717,37.830591,-81.940853,32567,6.0,71.77822298922015
54047,533.458,37.38276,-81.658204,19111,9.0,35.82475096446206
54049,308.753,39.505839,-80.243402,56205,4.0,182.038717032709
54051,305.431,39.854426,-80.671794,30591,3.0,100.15682756498195
54053,430.768,38.770914,-82.029007,25453,6.0,59.08749024997215
54055,418.962,37.403448,-81.106456,59664,4.0,142.40909676772594
54057,327.882,39.404781,-78.95669,26938,7.0,82.15760548002025
54059,423.14,37.721161,-82.158989,23568,8.0,55.69787777095051
54061,360.092,39.633645,-80.059074,105822,3.0,293.874898637015
54063,472.754,37.554062,-80.550329,12376,8.0,26.178519906759117
54065,229.073,39.557345,-78.256517,17063,2.0,74.48717221147844
54067,646.846,38.291432,-80.797515,24604,8.0,38.036874310114
54069,105.83,40.100323,-80.6199,42425,3.0,400.87876783520744
54071,696.05,38.67445,-79.340617,6143,8.0,8.825515408375836
54073,130.119,39.368133,-81.161172,7653,8.0,58.8153920641874
54075,940.239,38.332606,-80.010121,7869,9.0,8.369148695172184
54077,648.814,39.46903,-79.668865,34216,3.0,52.73622332440422
54079,345.679,38.510518,-81.906109,57440,2.0,166.1657202202043
54081,605.359,37.762469,-81.264672,74591,3.0,123.21779307815692
54083,1039.7,38.781095,-79.867788,27932,7.0,26.865441954409924
54085,451.99,39.177112,-81.066317,8444,8.0,18.681829244009823
54087,483.563,38.74295,-81.354494,14028,8.0,29.009663683946044
54089,360.592,37.655999,-80.856325,11959,8.0,33.16490659803878
54091,172.771,39.332478,-80.046554,16705,6.0,96.68868039196394
54093,419.044,39.111175,-79.559968,6762,9.0,16.13673027176144
54095,256.302,39.465634,-80.877219,8313,9.0,32.434393801062804
54097,354.638,38.90253,-80.231606,23816,7.0,67.1558039465596
54099,506.005,38.143642,-82.422666,38982,2.0,77.03876443908658
54101,553.47,38.483459,-80.449052,8378,9.0,15.137225143187525
54103,358.067,39.59818,-80.635399,14442,7.0,40.333233724414704
54105,232.511,39.020034,-81.382975,5194,3.0,22.3387280601778
54107,366.5,39.211602,-81.516234,84296,3.0,230.00272851296043
54109,499.47,37.60366,-81.549032,21382,8.0,42.809377940617054
