fipsCode,state,eia_n_utilities,eia_n_coops,eia_customers,eia_cust_residential,eia_sales_mwh,eia_dist_circuits,eia_ami_meters,eia_all_meters,eia_coop_share,eia_muni_share,eia_iou_share,eia_saidi_with_med,eia_saidi_no_med,eia_saifi_with_med,eia_saifi_no_med,eia_ami_share,eia_cust_per_circuit,eia_mwh_per_customer,population,land_sqmi,eia_cust_per_capita,eia_circuits_per_1ksqmi,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi,eia_cust_per_tl_km
39169,OH,6,2,60321.9062720005,52548.6775032657,1691467.0588032398,75.1000718693953,34465.615984742035,60367.15226165545,0.08535242975518569,0.03642260246176472,0.8782249677830496,250.5689936584172,144.66159847366814,1.198256714979996,1.0278006883267243,0.5709332756886433,803.2203534625754,28.040676486186655,116894,554.789,0.516039371327874,135.3669086254329,688.4939998143459,22,345.0,1241.001533581859,87.61428028169665
39171,OH,7,2,25561.137765404415,11919.818885816185,793643.7679250025,12.322005013847967,12948.109151956372,21405.14760617706,0.09149137090315904,0.3976348820339449,0.510873747062896,126.7815699913261,102.07472069224902,1.02965678631698,0.9458230932974908,0.6049063239451724,2074.430073407516,31.04884356905096,37102,420.66,0.6889423148456799,29.29207676947646,70.13367122912643,7,138.0,166.72293830914856,364.4631361432125
39173,OH,14,3,109512.27433108883,92099.2660910616,3606701.7303001713,132.11636433295266,70777.78510138502,108548.29843261496,0.0539542769490534,0.16842978593206548,0.7776159371188812,160.17371070218366,103.72497055938398,0.9362235692266142,0.8259922960839393,0.6520395632486374,828.9077199785926,32.93422360489033,132248,617.162,0.8280826502562522,214.0708020470357,571.027124132717,42,345.0,925.2467328395412,191.78121266554095
39175,OH,8,3,13740.50955958754,9437.033843413144,423123.53114655573,14.478057614168886,9102.462454350276,13159.14432669566,0.08532863317960503,0.19235094510420303,0.7223204217161919,244.21022589003212,135.01772897726138,1.1715377741554702,0.9873624215524648,0.6917214545541777,949.0575273122585,30.793874805852322,21900,406.879,0.6274205278350474,35.5832019203962,152.98924021482858,12,345.0,376.00672488584706,89.81356819795312
42001,PA,2,1,25836.232234072435,22575.36724242896,600837.0236226108,39.523863548140106,26266.735933652162,26274.446447674483,0.14227227323089583,0.0,0.8577277267691041,402.64,220.50999999999996,1.851,1.485,0.9997065394303292,653.6869100006854,23.255597727219527,103852,518.69,0.2487793420836617,76.19939375762036,488.5378496874948,29,500.0,941.868649265447,52.884811792165564
42003,PA,5,1,722455.998115347,635893.3236540798,15757622.946035758,871.2328722966877,725609.1026846583,728029.8150339675,0.025839709267008123,0.005691696118139889,0.9684685946148519,402.64,220.51,1.851,1.485,0.9966749818492031,829.2340900898921,21.81118709948049,1250578,729.954,0.5776976710891659,1193.5448977561432,1414.6854662621877,155,345.0,1938.047419785613,510.68312734150345
42005,PA,4,3,18516.73122627168,14539.398796955198,396619.67307703965,27.421775614626398,18788.49259376627,18793.35996154229,0.2445162325768873,0.0,0.7554837674231129,402.64,220.51,1.851,1.485,0.9997410059837102,675.2564635674107,21.419529625958635,65558,653.321,0.28244807996387444,41.97289787811259,798.1396354586495,38,500.0,1221.6653612215885,23.199864288948728
42007,PA,3,0,96768.62070108374,83216.54161233832,2115752.4894464407,112.77612062185916,94840.1783544877,97518.35371491074,0.0,0.027440169825398007,0.9725598301746019,402.64,220.51,1.8510000000000002,1.485,0.9725367045443308,858.0594913842716,21.864034788528777,168215,434.695,0.5752674892315414,259.4373540571186,1040.0703184780054,52,500.0,2392.643850235235,93.0404598438025
42009,PA,5,4,18043.61646374515,14236.334575793964,393924.3035927633,30.71678270831429,17441.007349957814,18243.054501211693,0.4373514151395548,0.0,0.5626485848604451,402.64,220.51000000000002,1.8509999999999998,1.485,0.9560354790805121,587.4188268702106,21.831782136595027,47577,1012.241,0.3792508242164313,30.345325577915034,333.13841430086916,10,500.0,329.10978146594454,54.16252130998414
42011,PA,3,0,189339.16628696732,162098.63887211253,4616879.098984649,216.54616730059126,192159.31064861116,192191.15063462936,0.0,0.013298886064511631,0.9867011139354883,429.4037130606929,154.0802806398624,1.543365250179226,1.0646168592830554,0.9998343316749337,874.3593509283521,24.384173594528185,428849,856.403,0.4415054396465127,252.85545158131308,851.2752441784147,48,500.0,994.0124499545362,222.41826904023608
42013,PA,3,2,33904.885582178686,29191.109988329627,748295.3172544334,59.37587911989928,34414.026719468115,34423.14566521061,0.2270032888859841,0.0,0.772996711114016,402.64,220.51,1.851,1.485,0.9997350926080032,571.0211972392636,22.0704274444671,122822,525.276,0.27604896176726224,113.03748718749627,574.5819158444006,16,500.0,1093.86668312354,59.007923234674664
42015,PA,5,3,33308.56727220337,27357.249624590324,722177.6445879813,42.66331946239825,31947.82149330463,33639.7358600207,0.21570752611543204,0.0,0.7842924738845678,429.4037130606929,154.0802806398624,1.5433652501792259,1.0646168592830554,0.9497048855033717,780.7307938511492,21.681438252393768,59967,1147.474,0.5554482844264907,37.18020579324521,339.6302546951876,24,345.0,295.98078448416925,98.07302739297253
42017,PA,5,0,526630.4929758832,456800.34077056043,11934283.157210555,626.8762103196754,541055.629978921,545544.3919728213,0.0,0.01704990523670871,0.9829500947632914,330.2892338614809,111.18902599081015,1.2819676992249107,0.8847108036760394,0.9917719583228272,840.0869012198248,22.661587804709743,646538,604.367,0.8145391190864004,1037.2442742897535,684.9708415519842,76,500.0,1133.3690316512718,768.8363664979684
42019,PA,3,1,46498.51094941263,38388.76092807992,1070114.0282138193,65.71861458465852,45041.72791530319,45056.11389081168,0.0622042480035978,0.04860370695437395,0.8891920450420282,402.64,220.51,1.851,1.485,0.9996807098023733,707.5394276535362,23.013941873924395,193763,789.486,0.23997621294784158,83.24227989433444,500.9475208115429,43,500.0,634.5236277926941,92.82112200911645
42021,PA,5,2,36669.501528054054,27762.587913266765,791965.6722424036,52.32729161393642,36259.79072605029,36562.700383327836,0.19704622574622374,0.02626160596328956,0.7766921682904866,402.64,220.51,1.851,1.485,0.9917153368295611,700.7720139348431,21.59739399883877,133472,687.51,0.27473553650244287,76.11131709202255,1484.319500120352,44,500.0,2158.9787786655493,24.7045878768559
42023,PA,2,1,1253.5139720042935,1101.8401314088524,26772.751133575017,2.1034603320884333,1152.586514011151,1272.7005069699035,0.2259668884312669,0.0,0.7740331115687332,402.64,220.51,1.851,1.485,0.9056227350417855,595.9294562782339,21.35815932770737,4547,396.233,0.2756793428643707,5.308644994456377,26.8084453932849,1,,67.65828538583334,46.75817465783672
42025,PA,3,0,18626.398529733473,12537.94361228859,421155.46613429015,12.432648272869418,14547.785214134066,14547.785214134066,0.0,0.22741916496836673,0.7725808350316332,455.1,90.3,1.248,0.6610000000000001,1.0,1498.1843064264986,22.610676211077315,64749,381.324,0.28767082935232163,32.603896615134154,451.3289434171239,33,500.0,1183.58389038488,41.27011750832634
42027,PA,4,2,79215.0623563668,64479.18045741426,1800463.4954150913,94.32282223841224,80255.21372426071,80266.95723833784,0.1301517082519919,0.0,0.869848291748008,429.40371306069284,154.08028063986237,1.5433652501792259,1.0646168592830552,0.9998536942911358,839.8292213536745,22.72880234967563,158172,1108.708,0.500815962094219,85.07453922801336,179.81409986997028,8,230.0,162.18346027084704,440.53865861270015
42029,PA,3,0,427878.4654818753,377580.34409766714,9750012.523907898,518.1610302651486,443430.61216343835,443512.2464887932,0.0,0.0,1.0,330.2892338614809,111.18902599081014,1.2819676992249105,0.8847108036760394,0.9998159367052407,825.7634991634266,22.786873634613666,534413,750.546,0.8006513042943852,690.378777936527,662.648336925865,56,500.0,882.8883731654888,645.7097100203617
42031,PA,3,2,9557.503987949081,7378.270597186379,209308.2844295858,12.631033405486436,9711.881258257295,9714.646224292666,0.16854143677097058,0.0,0.8314585632290294,402.64,220.51,1.851,1.485,0.9997153817059795,756.6684119288029,21.89988983457392,37241,600.835,0.25663929507663813,21.022466077186643,391.9034232939187,17,345.0,652.2646372030902,24.387396026344913
42033,PA,3,2,21551.989751431687,16757.144625603847,473161.5199232237,31.584087051980532,21885.94806755022,21891.929410525478,0.20236053847004315,0.0,0.7976394615299569,402.64,220.51,1.851,1.485,0.9997267786286401,682.3686154347854,21.954423947876638,80562,1145.325,0.2675205400987027,27.576528105106,673.2233671923092,19,345.0,587.8011631565793,32.013133830031286
