fipsCode,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi
42059,586.6875788031946,33,500.0,1018.6750845641404
42061,833.926180852199,19,500.0,953.4376881916452
42063,1530.4121618451006,44,500.0,1849.6552613295328
42065,522.4997717806327,14,345.0,800.8457114971342
42067,549.5491564236448,15,500.0,1404.092471272065
42069,715.7158352955269,69,500.0,1559.2495970604905
42071,1560.6921593421123,201,500.0,1653.40870593619
42073,324.45031880352064,40,345.0,907.8961812251356
42075,464.70766287178566,31,500.0,1284.3082147160603
42077,1275.459989894253,161,500.0,3693.431219505442
42079,1138.6606940347372,126,500.0,1279.8786664554298
42081,749.7325770033895,48,345.0,610.0743555344444
42083,390.2217477381605,6,345.0,398.3098270869889
42085,327.4856501068985,32,345.0,486.9530275782111
42087,575.5842955869283,11,500.0,1400.2950907733416
42089,631.651134380836,58,500.0,1038.2902381017
42091,691.2407728176572,92,500.0,1431.226249231646
42093,282.50107193611996,17,230.0,2169.0640576786104
42095,833.9087468865715,124,500.0,2255.099535102738
42097,823.0812287915911,55,500.0,1798.439966419887
42099,923.3867793509892,34,500.0,1674.4735766154065
42101,375.7476757262168,72,230.0,2796.65720716765
42103,274.43060796592795,24,500.0,503.6394313875663
42105,67.97482703548222,5,115.0,62.866950198781424
42107,547.4902426474183,77,230.0,703.1916384174481
42109,179.30648015892382,13,500.0,545.3625485392349
42111,312.5166145863073,36,230.0,290.70042015493954
42113,0.0,0,,0.0
42115,235.37297830286565,18,230.0,285.82094710960513
42117,484.57145936934097,12,345.0,427.38518472695125
42119,214.1414686311093,13,500.0,677.765827186121
42121,373.47104502413464,21,345.0,553.8935656220249
42123,311.3345121476703,15,230.0,352.07604830548433
42125,854.187261855966,60,500.0,996.706294974348
42127,403.916586531871,44,500.0,556.5360142578024
42129,1569.7119087246017,73,500.0,1527.3850151838271
42131,169.38538960308412,14,230.0,426.2597378882573
42133,1050.5200469712054,131,500.0,1161.609400365787
54001,174.33981072055795,7,138.0,511.1719987467211
54003,307.3738983789353,15,500.0,957.1127813086696
54005,441.00763373254694,42,765.0,879.3175213097156
54007,139.0194114474484,9,138.0,272.19480052756984
54009,739.549138093446,39,345.0,8291.281426223666
54011,506.7132533458023,27,765.0,1803.1024270106088
54013,82.47365968943768,2,138.0,295.3398735521493
54015,105.41458004514656,5,138.0,308.28475267561333
54017,227.17889046068288,19,500.0,710.5491017558414
54019,654.5690119208834,51,345.0,989.353310652728
54021,136.65748077463363,5,138.0,403.7112840200342
54023,748.4623161767853,15,500.0,1567.880638530926
54025,162.27748146357743,8,138.0,159.12474293186833
54027,621.948626400185,11,500.0,971.184703358492
54029,1035.088937189777,33,500.0,12529.977813431671
54031,406.40152793965586,6,500.0,697.9066792709373
54033,574.5172537716543,32,500.0,1381.024532633157
54035,499.82237450049274,18,765.0,1076.3705979651363
54037,256.5304263672553,10,500.0,1225.6824132675986
54039,1141.965928404293,92,345.0,1266.5318709787998
54041,171.6411423177279,5,138.0,443.5974008676709
54043,224.5823097668548,6,765.0,513.8089829094833
54045,408.0674941828966,30,765.0,899.3877112448876
54047,498.65286452019507,30,765.0,934.7556218487588
54049,585.8990365172576,57,500.0,1897.6302627577952
54051,1359.3844504547033,102,765.0,4450.70883588995
54053,1300.4644906507256,35,765.0,3018.944050279328
54055,339.52174818431416,16,345.0,810.3879306102085
54057,396.354875011612,19,500.0,1208.8338945462451
54059,301.1199213099309,36,138.0,711.6318979768655
54061,576.7638646934993,45,500.0,1601.712519837984
54063,35.10035318365462,1,138.0,74.24654933359552
54065,155.6095014156473,3,500.0,679.3009277201908
54067,241.0301550700737,20,138.0,372.6237080697317
54069,233.9672496063864,21,138.0,2210.783800495005
54071,200.73237833264457,5,500.0,288.38787203885437
54073,231.33669244614012,6,765.0,1777.885569718028
54075,248.3476076457444,12,500.0,264.13242552770555
