fipsCode,county_name,fia_forest_acres,fia_forest_se_pct,fia_plots,fia_pct_forest
18171,IN Warren,12382.8347661381,61.0866537507,3.0,0.053053769837645065
18173,IN Warrick,58333.7314052762,31.0614609209,11.0,0.23684062155409882
18175,IN Washington,138426.7608184787,20.2192798479,24.0,0.4210575969001999
18177,IN Wayne,9949.2132710954,76.6213269314,2.0,0.038694439224218204
18179,IN Wells,22146.9625610124,47.2611480105,4.0,0.0940120922542276
18181,IN White,20309.2878671954,51.1085644323,3.0,0.06282085186947119
18183,IN Whitley,45136.7514245224,32.9284381556,10.0,0.21016954566828855
39001,OH Adams,238933.1749379183,16.3831055278,36.0,0.6394091270697985
39003,OH Allen,23661.9077746091,45.4557601244,6.0,0.0918449636632593
39005,OH Ashland,114647.6000327356,23.3874421976,17.0,0.4235044458840328
39007,OH Ashtabula,208141.8606242329,16.4806986674,34.0,0.4632345021562955
39009,OH Athens,240218.0330219266,14.7461500995,48.0,0.7452499714019432
39011,OH Auglaize,36483.9497429199,39.601859595,7.0,0.14202261022579735
39013,OH Belmont,185990.199537795,18.197352434,34.0,0.5461284369667481
39015,OH Brown,59937.0867657599,30.5231971166,11.0,0.19130433500530053
39017,OH Butler,73034.4668893522,27.0644610237,14.0,0.24460982610672297
39019,OH Carroll,70649.5549427735,32.2231704274,12.0,0.27974296168916196
39021,OH Champaign,30124.6318765154,43.392375951,5.0,0.10972248077935638
39023,OH Clark,38643.9605183215,37.6830602993,10.0,0.15214081014993902
39025,OH Clermont,79861.0425851394,27.6807339972,16.0,0.2757267081476054
39027,OH Clinton,41567.4913995408,36.2377268933,7.0,0.15890452476514505
39029,OH Columbiana,149528.5019032589,19.8904924494,23.0,0.4392382349574126
39031,OH Coshocton,233880.4466623259,17.1751454559,33.0,0.6479538534683081
39033,OH Crawford,17149.7871590659,55.0077799023,4.0,0.06669356930316256
39035,OH Cuyahoga,53677.299922685,31.56146241,11.0,0.18343998969665057
39037,OH Darke,29611.7390865027,39.1821900925,9.0,0.07735861495641291
39039,OH Defiance,28798.406029615,44.2304792158,6.0,0.109363250507409
39041,OH Delaware,30685.458329802,42.6132836677,7.0,0.10819441097494877
39043,OH Erie,14054.0238174292,68.5154135308,2.0,0.08738742882562289
39045,OH Fairfield,48291.5095322999,32.6135277592,10.0,0.14960491636853984
39047,OH Fayette,8960.1357085734,83.8684547061,2.0,0.03445264689437701
39049,OH Franklin,29593.3296853058,44.6479272465,5.0,0.08684842451178364
39051,OH Fulton,39592.7781047736,35.2689361398,8.0,0.15258151074914536
39053,OH Gallia,170057.3957856255,18.404816483,34.0,0.5695554003280386
39055,OH Geauga,156106.1751203084,19.3164825086,25.0,0.60933122481703
39057,OH Greene,18748.276803383,50.8846166253,6.0,0.07083434892067622
39059,OH Guernsey,216345.1861301702,17.3513738695,30.0,0.6472700129216644
39061,OH Hamilton,66000.383574094,27.8445080827,13.0,0.25437547781494124
39063,OH Hancock,15614.4130714833,59.7994147086,3.0,0.045918261749762684
39065,OH Hardin,11899.5262592172,52.5327281574,4.0,0.03953562154869254
39067,OH Harrison,124071.9157408941,24.7590708931,16.0,0.48184795192303603
39069,OH Henry,31446.8990460394,42.1188920663,6.0,0.11811201595980039
39071,OH Highland,92493.979760719,26.8463765033,15.0,0.2613017975138016
39073,OH Hocking,241997.1895463349,14.9919959477,40.0,0.8974047847892087
39075,OH Holmes,79531.3845046902,29.9912655123,13.0,0.2940469941425668
39077,OH Huron,26301.7684461515,48.4223324464,5.0,0.0834882633112339
39079,OH Jackson,158528.2633848689,19.7711853234,28.0,0.5893279044963422
39081,OH Jefferson,136571.9813405289,23.4147322252,19.0,0.5228649156741
39083,OH Knox,64626.8676120537,27.291110263,13.0,0.19215922512475553
39085,OH Lake,64900.3164400518,29.4181679901,13.0,0.4423027192287736
39087,OH Lawrence,214370.1435553148,14.4864820451,65.0,0.738770447062878
39089,OH Licking,120417.1988619512,19.7128476589,27.0,0.27570989017403874
39091,OH Logan,60962.3246872744,30.7384878322,9.0,0.20774784261027393
39093,OH Lorain,46758.626793424,32.0250482644,11.0,0.14893984205996097
39095,OH Lucas,29108.1705789779,43.7971907453,7.0,0.13390188666311306
39097,OH Madison,13171.8104591581,68.6463154452,2.0,0.04418277218468
39099,OH Mahoning,48093.5894504152,34.6456404032,10.0,0.18262071680407144
39101,OH Marion,25460.2602779891,42.1124420102,7.0,0.09851675478907686
39103,OH Medina,34633.7637099219,38.0891720965,9.0,0.12840011530627718
39105,OH Meigs,215994.3193787114,17.1938103222,27.0,0.7846769464667371
39107,,0.0,,,0.0
39109,OH Miami,23661.1850069719,44.2579741367,6.0,0.09094389114804301
39111,OH Monroe,178452.7635415707,18.2294423814,38.0,0.6118463255830936
39113,OH Montgomery,32857.8286848005,39.6831676174,11.0,0.11128264015901294
39115,OH Morgan,111147.6246037993,21.3472395711,24.0,0.41704447715425164
39117,OH Morrow,72940.1069599069,26.8047063656,12.0,0.28061900044038307
39119,OH Muskingum,281836.8880475131,15.2953079222,44.0,0.6626631378027091
39121,OH Noble,197238.0149135739,18.4468276724,33.0,0.7743093130419666
39123,OH Ottawa,18084.9739795962,56.9846899094,3.0,0.1109435731010077
39125,OH Paulding,10097.8892655895,64.3963384855,4.0,0.03788815055767068
39127,OH Perry,121903.27872015,21.2092037685,29.0,0.4669232596455171
39129,OH Pickaway,16777.9136506234,56.9490464481,3.0,0.052302525156413975
39131,OH Pike,187738.6840105371,18.3588298446,29.0,0.6662586564212578
39133,OH Portage,84416.3433363172,25.6120904198,16.0,0.27061793880447604
39135,OH Preble,39541.689275815,38.6024361793,8.0,0.14563909211943854
39137,OH Putnam,1524.4029133965,101.3190684699,1.0,0.0049360878016969055
39139,OH Richland,50087.9953515098,32.30162182,10.0,0.15803357397059142
39141,OH Ross,222719.8140064073,16.3675203211,37.0,0.5049577451368921
39143,OH Sandusky,13648.6779863923,52.0451329245,4.0,0.05223825672202047
39145,OH Scioto,278599.2971341879,14.15518694,47.0,0.7134556568883931
39147,OH Seneca,31864.3432130134,39.1806470378,8.0,0.09035514888650162
39149,OH Shelby,19383.2193469848,47.2197248736,5.0,0.07428679408984128
39151,OH Stark,34961.7515047517,39.3122074401,9.0,0.09496099489135361
39153,OH Summit,77971.9568905002,24.2822497637,19.0,0.29513868365356616
39155,OH Trumbull,168645.50566681,18.6619812837,28.0,0.4263196510026527
39157,OH Tuscarawas,151659.8945959907,21.782387829,24.0,0.417647478724888
39159,OH Union,6314.41635331,59.5697779025,4.0,0.02285134890540064
39161,OH Van Wert,17500.3670999876,54.2636582353,4.0,0.0668320263808643
39163,OH Vinton,222317.6740553265,16.4942968392,34.0,0.8423983066045388
39165,OH Warren,57875.7550410562,31.0658584988,12.0,0.2252735049003936
39167,OH Washington,224035.7855759987,15.8054346173,49.0,0.5539087287807694
39169,OH Wayne,41992.9812989893,36.946897762,9.0,0.1182684467061726
39171,OH Williams,27345.260738329,42.1936568405,7.0,0.10157126872923278
39173,OH Wood,31556.5283875543,42.701683032,5.0,0.07989324619071425
39175,OH Wyandot,15992.2818468369,57.4860999816,4.0,0.06141368904682389
42001,PA Adams,120734.7913897621,19.9193876233,23.0,0.36370107684070113
42003,PA Allegheny,146467.9132037384,19.4982735734,31.0,0.31352128268471885
42005,PA Armstrong,239393.9996823986,16.3655911825,34.0,0.5725411007816186
42007,PA Beaver,140067.4085869351,20.7306993866,24.0,0.5034686985520563
42009,PA Bedford,360040.5874476791,12.2398160402,58.0,0.5557603553768308
42011,PA Berks,195262.7102923404,15.3578901764,38.0,0.35625515654637113
42013,PA Blair,261757.1535637487,14.8287360655,38.0,0.7786298106963908
42015,PA Bradford,469554.5111303956,10.7122097738,84.0,0.6393860981959009
42017,PA Bucks,126781.0291901477,21.0968869941,23.0,0.32777328694254615
42019,PA Butler,266502.1070580889,15.1867456561,41.0,0.5274438587616043
